,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,comm40,conversation,school,go,senator,sense,marshablackburn,seats,horrible,sacrifice,fucked,gendersegregated,walkaway,fire,miss,bluetsunami2018,"
control",gopstupid,cantfixstupid,chuyforcongress,brucerauner,kamalaharris,trans,taking,drill,endgunviolence,liberals,wtf,smart,pillow,idiot,they’re,rights,nicely,hillaryclinton,nuts,nra,fr,fuck,krisvire,jasoncrowco6,voteorange,danielbiss,yes,voting,joke,vote,sure,gun,
1,heard,incite,johncampea,throw,stop,holder,explain,obviously,breitbartnews,curb,anti,socialismglobalism,liberals,death,control,chicago,drill,everyone,children,bathroom,pick,vital,fight4afuture,angry,parents,says,bet,astoundingly,strengthengunlaws,agreeable,momentsofsilencearenothelping,actual,conversations,obama,nra,gender,hurts,27,ericholder,fuck,gun,stfu,civil,hillaryclinton,blame,sickens,good,illegals,🤬🤬🤬,💩💩💩💩
2,"americans
wethepeople",reading,shooter,chicago,👊👊👊👊👊👊👊👊,❤️❤️❤️❤️❤️❤️❤️❤️,,protect,obama,colinallredtx,also,old,saves,lives,hell,students,runner,sank,whew,guy,lock,kids,liberal,sarahtaberbww,snowflakes,donation,point,donated,join,promote,sent,respond,inciting,drill,uhhh,fight,betoorourke,kathrynerbe,lawsuit,marc,please🙄,real,yes,hillaryclinton,fino,roflmao,wewantwallace,🤣🤣🤣🤣🤣🤣🤣,happnin,vote
3,threatening,leaders,gender,realdonaldtrump,fired,change,sad,weekend,continue,daniadams91,badass,lizziet12,child,put,active,slow,cbsnews,liberals,rand,pauls,runner,shooter,nra,chicago,bullshit,,whoever,reread,twice,could,smh,join,donating,fuck,drill,man,kids,america,democrat,hillaryclinton,parents,gun,absolutely,sexy,talk,🤔👏🏼👍🏼,💔💔💔,controlnow,outrage,coins
4,chicagos,quite,entire,gross,gender,momsdemand,weekend,hrc,potus,teachers,incompetent,hire,fire,nra,solution,work,she’s,violence,dareng1187,pla…,troubled,access,supporting,an…,flick,cuf…,growingupchey,chest,situation,heavy,disagree,matthewlillard,children,heart,family,could,stafford,co,would,end,rand,question,drill,without,related,rope,davidhogg,lmfaooooo,,vote
5,health,😂😂😂😂,vibe,confirm,active,shooter,bekind,"
bluewaveishere",crazy,privileged,veramsimilitude,holder,huge,flying,fists,cherrywlne,hillaryclinton,mental,page,she’s,park,related,shut,let’s,therefore,political,ruckus,youre,foxnews,states,rand,child,davidhogg111,swift,taylor,dear,tf,talk,kids,gender,shooting,girls,school,help,least,,voteblue,unread,wait,vote
6,cannot,vote,free,hillary,caution,transphobia,dying,end,timkaine,chrismurphyct,hillaryclinton,case,dang,malarkey,surprise,kind,grafikalrob,shooter,almost,schools,matthewlillard,hollowsfate,mikelevinca,✅✅✅✅,ca49,tiff,"
thank",serum,holder,sparkshow,whiteonwhite,sort,believe,vital,fight4afuture,opioids,poverty,fuck,appreciate,to…,says,true,earth,brockhoused6,actual,🙃🙃🙃🙃,holding,fucking,message,bullshit🤬🤬🤬🤢🤮
7,conversations,rewarding,painful,liberal,e…,skipandpete,bucksexton,janicedonalson,gop,games,tool,hated,wouldn’t,glorifying,for…,sarah,news,leftdont,mobruledemocrats,mob,issues,typical,fox,learn,existence,"
my","trump
gun",amazing,honor,uhh,major,recognition,daniadams91,thetestes2,reported,"

we",minds,school,matthewlillard,hollowsfate,parents,crisis,surviving,techniques,read,whatdid,hillaryclinton,gun,joke,
8,anger,cos,amend,democrats,"vote
go",democratically,controlled,ra…,district,hilo,actual,job,shouldnt,sarahksilverman,sarahhollywood,hypocritical,pig,laws,yendysthesage,dem,strictest,incidence,hig…,aroun…,rachelrgonzalez,daughters,generation,yall,foxnews,student,completely,bathroom”,worried,“right,gop,paranoid,fearful,afraid,advocated,censoring,entertainment,is…,fucking,gun,loose,correctly,violence,wow,enraging,😐😐
9,conversations,chicago,football,research,game,end,mrshillaryclinton,politician,middleeast,arent,learn,whole,throw,generally,using,liberals,owning,victims,t…,blame,room,ends,essays,"writing
visit",creative,articles,support,resistance,veteran,problem,sarahksilverman,control,violence,scene,stops,gs,classy,didnt,however,psychopath,understatement,bail,reduce,parents,jealous,away,always,gun,sad,jcepc
10,ich,weine,halt,fast,ne,laws,shooting,s…,rancherhills,mistake,learned,dining,murderous,maybe,fucking,violence,your…,testify,advice,die,gave,youre,gun,liberal,discharge,americans,classes,shoot,illness,nice,drill,child,part🌊🌊🇺🇸❤️💪🏼🇺🇸❤️🌊,anzeige,rein,ist,marcorubio,list,losing,accidental,stupid,vote,lucywins2018,loved,active,hillaryclinton,please,sucks,woman,
11,worthy,advocate,strap,inciting,hillary,yikes,fake,plus,nvm,comment,that’s,shootings,right…,cities,stricter,began,his…,shooting,quietand,congress,staying,cleveland,realjameswoods,laws,enoughisenough,neveragain,voteblue,gender,american,sorry,crazy,point,wild,gun,guy,add,promoting,dckhead,cis,terrorist,,✋🏻,🙄😒please,prevent,im,lmao,😃👍,👍👍👍,imagine,vote
12,police,needs,star,daniadams91,donate,violent,article,reduce,agree,pay,victim,vote,demslibs,meizel,dumber,remake,cruncham,acfeknoxville,“furious”,delay,morningafter,inciting,violence,to…,dr,trump,much,,rolandsmartin,active,sent,kanye,making,healthy,timeline,gun,let,desperate,aright,set,aint,chicago,voteblue,actual,👇👇👇👇👇👇👇👇👇👇,contributed,advocating,delusional,join,disgusting
13,loaded,incidents,anti,kamalaharris,victim,mob,going,fredguttenberg,separated,training,protect,student,violence,nose,armstrong,seat,laws,shame,🤦🏾‍♂️🤦🏾‍♂️,onion,child,wevoteoutrepublicans,apology,fear,kids,runner,gop,dumb,va07deservesbetter,va07,outwithgop,we’re,excuse,even,wearethemob,angry,educators,candy,ericholder,wesrucker247,control,fucking,drill,gun,grrrr,beapatriotvoteblue,yaaay,chelzzayy,orangewaveinnovember,words
14,for…,seeing,cartel,there’s,fuck,infront,o…,jagratishukla29,emerges,spending,away,comment,killed,gubbament,engineering,allowed,shouldnt,reduce,gun,runner,brutality,wtf,police,didn’t,chi,excellent,obviously,fuckin,closet,minstrel,drills,vote,selection,stfu,child,kanye,wrong,natural,training,becouse,chicago,,well,huh,hahahahahahahaha,cooooooooooooooooooooooooooooooooon🎶🎵🎶,mdrrr,👇🏽👇🏽👇🏽,daniadams91,die
15,mind,scary,safety,eliminate,human,side,chosen,dropped,hes,hello,liupost,dawg,barrels,bigger,a…,active,kidding,blew,nervous,ugly,hollywood,"

acab",necessary,tell,masculinity,toxic,i’ve,inevitably,communities,seen,there’s,america,yup,pissed,🏳️‍🌈🌈💙,t…,nra,,violence,disarmhate,gun,chicago,word,lawsuit,drill,louismarchto,options,mikelevin,randpaul,leaderofthemob
16,top,low,kick,family,movement,transgen…,realdonaldtrump,point,asking,meetings,numbers,fredguttenberg,imao,money,student,receive,parents,kanye,newtownaction,shelter,the…,loved,prevention,s…,hands,f…,survivors,school,baby’s,a…,gun,momsdemand,shooter,die,,active,chicago,control,children,america,scenario,inotherwords,gender,cancelled,good,sorrywhat,"truth💯
gunsense
govote🇺🇸",murica,less,marcorubio
17,kendrick,close,end,active,mouth,sucks,warning,oops,test,shooter,lmaooo,thread,"him

so","rights
is",moron,probably,nothing,droctagon,talking,reduce,training,speak,sense,partner,problem,violence,,oprah,numbers,power,democrats,country,getoutthevote,must,fr,dayofthegirl,sleep,dats,biafra,story,gun,chicago,rational,hole,fuck,kanyedoesntspeakforme,odd,prison,house,yes
18,lie,advocate,mass,rich’s,seth,momsdemand,ericholder,ratings,nra,awesome,stand,republicans,fact,ufhealthjax,america,control,💙vote,blue💙,larryelder,capital,country,mean💀💀,stupid,anti,crazy,sauce,gun,foxnews,wheres,cartels,,correctly,said,frodo,definitely,disarmhate,stop,markerelli,chicago,damn,tds,specially,arpacfr,🐐🐐🐐🐐,philandocastile,ricagv1,angrydemocratmob,incredible,kanye,dayofthegirl
19,laws,‘em,what’s,"range

no",stupidity,reporters’,exploded,heads,hrc,gender,drill,problem,lmao,whos,robprovince,facts,democrats,though,students,raining,running,gamer,wtf,active,🙄😦,dragon,wow,nra,gun,iq,ill,onion,training,rights,man,chicago,gottem,amen,lmaaaaaaoooooooooooooooo,okurrrr,😶😶😶😶,boom,educationmatters,jointhenra,hell,owned,exactly,true,right,kanye
20,"♡
orangewaveinnovember","
orangeribbonsforjaime
voteblue",nra,kanyewest,thing,arms,mean,teller,omgkanye,america,gun,based,shooting,schools,white,damn,stun,legal,centrism,violence,momsdemand,shannonrwatts,issue,bs,cares,surreal,guns,bear,rape,carry,article,illegal,straight,radical,ye,seriously,chicago,sad,🤬😡😡🤬😡🤬😡🤬,neveragain,👏👏👏👏,kanyewest2024,techchauvinism,😲😯🤔😶🤭😲🤭🤔🤔🤔😎😎,thiccdio,gets,true,absolutely,god,
21,fund,gop,bring,talks,"course
majtoure",blackgunsmatter,barackobama,cdc,research,active,runner,ward,issue,jonburnside,dloesch,trump’s,actual,100,people,schools,killed,long,damn,folks,nra,ericholder,violence,truthbetold,wdbj7,wsls,hammerdown,redwave2018,kaynewest,democratic,walkaway,focus,islamic,invasion,came,🙃🙃🙃,gun,tweet,chicago,dobetter,kanye,correct,disgusted,facts,maga,scpschools
22,illegal,dear,idiot,rifle,kayne,shoot,divide,gender,concerned,talking,rhetorical,care,gang,anti,world,victims,kaitmarieox,idiots,brandeeezy,teaching,armys,healthcare,schools,nra,ie,training,lmaoooooooooooo,1010,keeps,gun,kesha,chicago,ain’t,acceptable,true,excited,yes,you’re,lmfaooo,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,icon,huh,lmaooooooo,21851,💖🌈💗🌈💙🌈😘🌈💜🌈🌟,excuse,yikes,yo,riddance,❤️
