,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,sure,marshablackburn,tackle,rest,interesting,read,wtf,idiot,seats,newtgingrich,senator,okay😂😂😂,running,walkaway,trans,"
guncontrol",bluetsunami2018,inciting,girls,moron,nra,um,fuck,guilty,sacrifice,fire,imagine,smart,endgunviolence,fucked,kamalaharris,she’s,fr,they’re,nuts,,joke,hillaryclinton,agreed,krisvire,stillwithher,indivchisouth,danielbiss,younglings,vote,guns,real,nah,job,kidding
1,protected,chicago,violent,preventable,gunreformnow,message,holder,rest,brother,curb,nicolecliffe,shouldn’t,frick,actual,drill,vital,fight4afuture,bet,students,madame,neighbor,everyone,gender,control,heard,training,astoundingly,agreeable,parents,hurts,liberals,obama,crazier,nra,civil,hillaryclinton,27,yeehaw,fuck,congress,ericholder,stfu,sickens,good,resistancerises,💩💩💩💩,🤬🤬🤬,votethemallout,omfg,votethemout
2,turnout,commit,gunsense,lives,hispanicheritagemonth,saves,"yall

active","drill

vote",t…,meds,gal,threats,losing,painful,reading,black,hillary,whack,dirty,students,used,fight,sank,even,point,parents,betoorourke,donation,snowflakes,job,respond,vote,sent,whet,also,👊👊👊👊👊👊👊👊,promote,runner,please🙄,real,hillaryclinton,yes,hurts,happnin,thread,roflmao,🤣🤣🤣🤣🤣🤣🤣,blessherheart,fino,nuts
3,criminal,hocking,answer,lizziet12,working,bullshit,district,tomforwi,running,cbsnews,slow,badass,daniadams91,continue,speaks,whoever,pauls,rand,fired,weekend,pardon,wife,drill,there’s,short,film,reread,jongarysteele,twice,draiochta14,could,change,inciting,laws,vote,voteblue,hillaryclinton,donating,join,america,kids,guns,man,runner,fuck,🤣🤣good,absolutely,wtf,💔💔💔,outrage
4,teachers,incompetent,hire,threat,sheltered,brave,situation,wow,she’s,cause,hildebrand,penny,police,disagree,realdonaldtrump,gender,guns,eric,predator,middle,bury,chicagos,victims,acts,solution,supporting,firearms,memo,“victim”,gop,children,heartless,family,co,stafford,hurricane,vote,heavy,fire,question,disgusting,scps,drill,"notonemore
bluewave2018",without,end,fuck,davidhogg,lmfaooooo,"voteoutgop
voteoutnra"
5,worry,every…,care,gop,glad,youre,hes,psychopathy,warmongering,health,problem,page,political,is…,veramsimilitude,😂😂😂😂,confirm,huge,mental,park,rand,child,thehill,kids,save,let’s,tf,ruckus,taylor,davidhogg111,swift,hillaryclinton,least,states,foxnews,talk,,gender,shooting,upcoming,carelessness,😥💔,event,voteblue,help,school,unread,beautiful,yes,vote
6,jeffmerkley,bleed,vista,baby,chula,ted,on…,"entertainer
you",afb,lifted,lockdown,reports,dyess,sparkshow,whiteonwhite,caution,transphobia,dang,malarkey,surprise,tear,names,tim’s,rights,hillary,ar…,hollowsfate,matthewlillard,saying,hillaryclinton,guns,stop,poverty,opioids,dying,to…,sort,fight4afuture,vital,true,brockhoused6,silence,overrated,message,another,actual,🙃🙃🙃🙃,propagandist,appreciate,bullshit🤬🤬🤬🤢🤮
7,depiction,tyleroakley,discussion,thin…,fact,identifies,child,due,thefloridarose,drunk,driving,work…,abortion,lower,e…,skipandpete,bucksexton,janicedonalson,liberal,gop,learn,amazing,student,rednecks,randpaul,mflynnjr,issues,leftdont,typical,mobruledemocrats,mob,factors,bringing,relevance,passing,major,recognition,daniadams91,honor,americans,parents,reported,activeshooter,crisis,surviving,techniques,whatdid,read,hillaryclinton,
8,picked,fight,laws,yendysthesage,incidence,strictest,dem,hig…,amend,cos,control,end,aroun…,rachelrgonzalez,generation,daughters,black,excluded,drill,allegedly,student,virginia school,trans,arent,major,rally,fe…,sarahksilverman,gitmo,pushers,idiot,mob,women,keithboykin,inciting,disgusting,megawatts55,myers,interviewing,protesters,hypocrisy,clinton,legacy,guns,garbage,amazing,xx,caused,hillaryclinton,😐😐
9,research,zooming,dems,chicago,left,football,advocate,hypocritical,sarahksilverman,guns,murderous,definition,clintonthe,hilary,sociopath,hero,women,sad,arent,resistance,say,throw,whole,scene,"writing
visit",essays,articles,creative,t…,ends,learn,reduce,gunbail,picked,mama,bigger,veteran,control,holder,go,end,stops,away,gs,classy,parents,didnt,support,always,jcepc
