,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
602,road,lans,million,power,“when,prevent,prioriti,background,start,smell,note,kisfedup,thetrumptrain,gu…,"to
american",refer,suppo…,polit,safeti,“address,dankepolizei,kotti,rassisten,zwei,feig,law,oil,summe…,situat,618,anncoult,threaten,harm,kavan…,die,rais,hangrykissing,emilygorcenski,clearli,would…,awar,arm,gun viol,school,american,a…,pro,control,violenc,gun
603,ther…,roboliph,torontosmayor,least,you…,student,"

",protest,dancemagazin,dancer,four,gop,remov,biggest,owe,safe,re…,canadian,andrewsch,info,public…,fact,bigger,write,children,mar,grew,cultur,protect,threat,so…,quiet,global,respect…,speech,pay,life,da,für,dich,nra,short,map,economist,chicago,die,conserv,stop,🤦🏿‍♂️rip,gun
604,moron,martinmadmex,threaten,kyle,bibl,ravag,couldn’t,affect,consequ,livestream,brymufc25,redfishstream,caught,stealin…,american,dbsmithjrpa12,susaun28,myserenity69,wildlif,chriscoon,brainwash,order,aren’t,help,arrest,control,mani,citi,commun…,queenseagl,famili,drop,percentag,jesu,uphold,peacemak,violenc…,"frequency
",besid,cstbreak,temperatur,democrat,smoke,holi,bringiton,ive,violenc,truli,gun,
605,support,dbongino,due,ewerickson,woodjg,etc,flag,focu,firstanubi,adampiersen,crime,c…,violent,honor,philli,fou…,church,venu,difficult,wrench,convers,rais,classmat,melonyroy,gun,tribfest18,ball,redtraccoon,acton,governor,curb,vickihl,bicycl,eveytown,peddl,momsdeman,end,asid,gre…,wildli,consequ,experience…,tragic,bep,panel,violenc,nra,vamosvaldez,"
teamlup","
txgovdeb"
606,loss,g…,yourher,“pawns”,nratv,experi,healt…,joke,prevent,uhhhhhh,krassenstein,commun,protest,within,sorri,flic,batard,putain,ce,thing…,stricter,bag,tout,partout,acab,christian,abil,identifi,administ,refus,sho…,share,dmrdynam,demeanor,fredguttenberg,promot,emilygorcenski,elain,brave,assault,group,control,lost,end,victim,missing😡,fave,votecourag,fight,pray
607,updat,citi,substanti,lear…,research,advocaci,urgent,russian,tedcruz,promis,america,gripping…,saulnier,holdthedark,🙏🏽,zach’,tshirt,thread,hate,black,prevent,becomin,honor,sandyhook,protectourkid,jacquesdoucet,boil,teacher,protect,commit,ttiyraa,holle…,medic,curb,wethefutur,educolor,leftist,chicago,fix,senatordurbin,buzz,latestbuzz,normal,editori,acab,bullenschwein,pawn,prepar,epidem,gun
608,abus,domest,repbera,930,sunday,shatteringthesilencedc,yah,owner,rucku,huge,anti,mentalhealth,increas,"america

",health…,cuddl,ever,vio…,inevit,predict,tactic,advoc,“the,lost,stanc,proactiv,random,control,victim,stop,chicago,tl,thetattooedprof,lupevaldez,v…,refer,naral,itssteveyal,momsdemand,law,continu,solut,gun,theyr,delusion,polit,smartest,to…,vamosvaldez,🙏❤️🙏
609,cameronkaski,global,fit,wrong,join,kill,affect,candid,simpgoon,cnnbrk,loud,gasp,👍🏻😬,ronandusti,"forget
i",normal,born,state,relationship,edtech,infograph,“map,momsdemand,amnestyusa,blackgoldfaith,safeti,nonharm,nonviol,gop,nbcnew,"america

",mentalhealth,health…,arm,leftist,hamilton,refer,oregonacp,sound,agenda,move,mgmresortsintl,pleas,control,domest,nra,stop,familiar,everytown,gun
610,togeth,right,licens,"
if",exercis,protect,civil,legal,polic,speak,increas,forev,hav…,access,youth,younger,sexual,leadership,know,h…,addit,ingrain,kavanaughor,teapainusa,decency…,yr,drama,how…,gang,shot,girl’,kill,firearm,domest,easi,violenc,flood,sens,anniversari,"massacre
let",vega,gunviol,campu,diamondandsilk,gun,stop,donat,mgmgrand,brettkavanaugh,🤣🤣
611,sport,address,making…,awe,havent,nratv,assault,“pawns”,ksuopencarrywalk,wanted…,toler,seen,call,creat,johntori,palmerlockridg,bitch,amp,michaelcoren,thecalcoconut,katjathiem,zarkinfrood,jaycaruso,children,of…,thing,state,cost,weari,action,love,measur,elect,anti,fascism,antifa,brand,out…,matter,victim,wow,dead,other,haha,violenc,fakenew,gun,beauti,👀🐯🙏🏻🙏🏻,hi
612,highli,w…,liter,cou…,branch,att,protectourkid,sandyhook,children,god,p…,topic,liber,nejm,veto,sb221,carri,tribut,sharonlnelson,te…,concern,base,we,cuz,prayer,die,citi,squirt,electronation9,kent,antifa,racism,turkey,pasentqueen,cyrusisok,condon,prevent,bold,“dangerous”,“we,proud,lie,nra,rights”,gunsensecandid,strategi,gun,load,backward,🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️
613,dialogu,standsti…,protest,bringithom,deserve…,chriskingfl,andrewgillum,momsdemand,domest,ill,take,solut,march,unheard,surrey,black,america,invit,violenc,women,either,threaten,piss,speak,student,southern,mrcarrierpigeon,bleacherreport,weak,ant,meet,having…,instead,bet,gun,midterms2018,gunsensevot,maddymck,think,attack,,own,firm,young,wrong,🤨😡👎so,law,stand,polic,whathappenovertherewithy
614,unmask,crap,fascist,antifa,t…,far,uptown,maxwarkctv,polic,ur,palin,patriot,arneduncan,bemoan,schoolchildren,useless,blurri,kid,collect,arm,shoot,loss,guttenberg,fredguttenberg,countri,myliberalagenda,people’,memori,as…,ptsd,carri,bye,campu,thehil,scare,guy,head,lose,mama,somewher,lug,boyanet,rifl,law,everyone’,alarm,fals,gun,hat,senseless
615,startribun,citizen,condit,becom…,sheer,brianstelt,g…,disappoint,nbchristinaginn,america,panic,lost,shoot,mgm,short…,documentari,we’r,involv,upset,grate,act,vega,david,peopl,societi,hero,cape,honour,address,endless,felt,ass,sittingonthehil,gun,violenc,common,bitch,davidhogg111,votethemout,turnip2vot,mrcolionnoir,shut,stop,kaitmarieox,nra,total,nazi,andthisiswhywecanthavenicethingsamb,jonamm1,isupportguncontrol
616,black,"down
fals",virginia,crime,920,g…,viral,schoolsthi,isn’t,amount,justic,sunflowersoul71,everyday,expect,kill…,lol,prevent,seattl,drive,local,countri,control,retweet,easili,week,children,threat,bacharach,さっそくitunesでポチッとしました👇,"記事の最後にmvあります。
子供達を銃から守るためのチャリティソング。2週間前にリリースされてたこと、不覚にも気付かず😅",バカラックの新曲！,daughter,protest,voter,colorado,canvass,gun,shannonrwatt,pleas,campu,understand,player,lsu,import,,momsdemand,allow,fall,barrier,yepper
617,domest,right…,milli,excercis,amend,torontosmayor,nuitblancheto,toronto,blaming…,brainer,shawn,terrifi,lose,trust,sim,wayd,white,law,kentstat,kaitmarieox,godgave2a,or…,viole…,nickponticello,grandpa,"fun
wc",candid,campu,sorri,"

im",sasuga,hoshisan,hall,terribl,violenc,woul…,satir,promot,jump,school,communist,support,gun,global,caucasian,kasich,truli,vote,unless,matter
618,christo41624891,overal,articl,took,gun,forget,threat,ralli,seattlesullivan,"event



on",shoot,msnbc,sandi,hook,church,commonsens,wellwritten,practic,firearm,shall,republican,seattl,wont,carri,br,citi,countri,ive,hall,chang,school,rest,firework,script,live,nrabloodmoney,nraisaterroristorgan,dumb,twerp,davidhogg111,shouldn’t,libtards🤦🏻‍♀️,won’t,um,👍👍👍👍👍👍,campuscarrynow,wearethe97,voteblu,believ,end
619,person,bad,pacifist,i’d,god’,request,empathi,survivor,heartbreakingli,think…,polit,info,li…,traumat,daili,fear,current,parent,janchoix,firstli,thehil,children,18,voter,matter,cz,honey,nutelle,accept,msnbc,bjoewolf,brianstelt,nbchristinaginn,seven,ten,luckili,real…,plan,howev,seanquigley87,cleflore23,kill,reduc,omg,davidhogg111,note,2a,321patrick,musmculmarktng,pleas
