,datetime,gv_size,non_gv_size,tf_idf_size,f1_score,accuracy,precision,recall,train_size,test_size,TP,FP,TN,FN
0,2018-09-04 09:00:00,149.0,298.0,2592.0,0.0,0.9537815126050421,0.0,0.0,553.0,238.0,227.0,0.0,11.0,0.0
1,2018-09-04 10:00:00,218.0,436.0,2964.0,0.5925925925925926,0.9614035087719298,1.0,0.42105263157894735,665.0,285.0,266.0,0.0,11.0,8.0
2,2018-09-04 11:00:00,338.0,676.0,3404.0,0.3076923076923077,0.945619335347432,0.8,0.19047619047619047,772.0,331.0,309.0,1.0,17.0,4.0
3,2018-09-04 12:00:00,854.0,1708.0,3883.0,0.6341463414634146,0.9262899262899262,0.896551724137931,0.49056603773584906,947.0,407.0,351.0,3.0,27.0,26.0
4,2018-09-04 13:00:00,1158.0,2316.0,4222.0,0.5294117647058825,0.8972162740899358,0.9,0.375,1089.0,467.0,392.0,3.0,45.0,27.0
5,2018-09-04 14:00:00,870.0,1740.0,4484.0,0.459016393442623,0.9346534653465347,0.7777777777777778,0.32558139534883723,1178.0,505.0,458.0,4.0,29.0,14.0
6,2018-09-04 15:00:00,992.0,1984.0,4819.0,0.5840707964601769,0.9139194139194139,0.9705882352941176,0.4177215189873418,1271.0,546.0,466.0,1.0,46.0,33.0
7,2018-09-04 16:00:00,802.0,1604.0,4664.0,0.45714285714285713,0.8922495274102079,0.9230769230769231,0.3037974683544304,1232.0,529.0,448.0,2.0,55.0,24.0
8,2018-09-04 17:00:00,29299.0,58598.0,6319.0,0.8690248565965584,0.8132242672119973,0.8015873015873016,0.9488517745302714,3422.0,1467.0,284.0,225.0,49.0,909.0
9,2018-09-04 18:00:00,28584.0,57168.0,6271.0,0.8576779026217229,0.8093645484949833,0.8044496487119438,0.9184491978609626,2789.0,1196.0,281.0,167.0,61.0,687.0
10,2018-09-04 19:00:00,21618.0,43236.0,5986.0,0.7964125560538117,0.7723169508525577,0.752542372881356,0.8457142857142858,2325.0,997.0,326.0,146.0,81.0,444.0
11,2018-09-04 20:00:00,16316.0,32632.0,5545.0,0.7703703703703704,0.7806603773584906,0.7536231884057971,0.7878787878787878,1978.0,848.0,350.0,102.0,84.0,312.0
12,2018-09-04 21:00:00,14085.0,28170.0,5370.0,0.7663551401869161,0.7852760736196319,0.735897435897436,0.7994428969359332,1900.0,815.0,353.0,103.0,72.0,287.0
13,2018-09-04 22:00:00,11922.0,23844.0,5311.0,0.792929292929293,0.7944862155388471,0.7753086419753087,0.8113695090439277,1861.0,798.0,320.0,91.0,73.0,314.0
14,2018-09-04 23:00:00,10865.0,21730.0,5073.0,0.762295081967213,0.7749029754204398,0.768595041322314,0.7560975609756098,1803.0,773.0,320.0,84.0,90.0,279.0
15,2018-09-05 00:00:00,10644.0,21288.0,5212.0,0.7346938775510203,0.7563587684069611,0.7346938775510204,0.7346938775510204,1742.0,747.0,313.0,91.0,91.0,252.0
16,2018-09-05 01:00:00,10342.0,20684.0,5154.0,0.7554858934169278,0.786593707250342,0.7824675324675324,0.7303030303030303,1705.0,731.0,334.0,67.0,89.0,241.0
17,2018-09-05 02:00:00,10333.0,20666.0,5070.0,0.736283185840708,0.7877492877492878,0.7536231884057971,0.7197231833910035,1636.0,702.0,345.0,68.0,81.0,208.0
18,2018-09-05 03:00:00,8996.0,17992.0,4478.0,0.7252252252252251,0.8044871794871795,0.7853658536585366,0.6736401673640168,1454.0,624.0,341.0,44.0,78.0,161.0
19,2018-09-05 04:00:00,5570.0,11140.0,3674.0,0.6350710900473934,0.8229885057471265,0.7282608695652174,0.5630252100840336,1012.0,435.0,291.0,25.0,52.0,67.0
20,2018-09-05 05:00:00,3857.0,7714.0,3300.0,0.6938775510204082,0.8378378378378378,0.8292682926829268,0.5964912280701754,863.0,370.0,242.0,14.0,46.0,68.0
21,2018-09-05 06:00:00,2755.0,5510.0,3016.0,0.6504065040650406,0.8590163934426229,0.7843137254901961,0.5555555555555556,711.0,305.0,222.0,11.0,32.0,40.0
22,2018-09-05 07:00:00,1978.0,3956.0,3304.0,0.5436893203883495,0.8512658227848101,0.717948717948718,0.4375,736.0,316.0,241.0,11.0,36.0,28.0
23,2018-09-05 08:00:00,1609.0,3218.0,2695.0,0.3478260869565218,0.8828125,0.8,0.2222222222222222,596.0,256.0,218.0,2.0,28.0,8.0
24,2018-09-05 09:00:00,2213.0,4426.0,2993.0,0.47887323943661975,0.875,0.7727272727272727,0.3469387755102041,690.0,296.0,242.0,5.0,32.0,17.0
25,2018-09-05 10:00:00,3045.0,6090.0,3204.0,0.5890410958904109,0.8230088495575221,0.7049180327868853,0.5058823529411764,789.0,339.0,236.0,18.0,42.0,43.0
26,2018-09-05 11:00:00,4433.0,8866.0,4004.0,0.6923076923076923,0.8352402745995423,0.8181818181818182,0.6,1018.0,437.0,284.0,18.0,54.0,81.0
27,2018-09-05 12:00:00,5673.0,11346.0,4404.0,0.6129032258064517,0.813953488372093,0.76,0.5135135135135135,1204.0,516.0,344.0,24.0,72.0,76.0
28,2018-09-05 13:00:00,5386.0,10772.0,4834.0,0.7329192546583853,0.8552188552188552,0.7375,0.7283950617283951,1384.0,594.0,390.0,42.0,44.0,118.0
29,2018-09-05 14:00:00,6298.0,12596.0,5392.0,0.6877828054298643,0.7958579881656804,0.7342995169082126,0.6468085106382979,1576.0,676.0,386.0,55.0,83.0,152.0
30,2018-09-05 15:00:00,6247.0,12494.0,5347.0,0.7307692307692308,0.8335809806835067,0.8397790055248618,0.6468085106382979,1569.0,673.0,409.0,29.0,83.0,152.0
31,2018-09-05 16:00:00,5529.0,11058.0,5441.0,0.6610644257703081,0.8183183183183184,0.7375,0.5989847715736041,1551.0,666.0,427.0,42.0,79.0,118.0
32,2018-09-05 17:00:00,4242.0,8484.0,4951.0,0.6204379562043797,0.823728813559322,0.7589285714285714,0.5246913580246914,1375.0,590.0,401.0,27.0,77.0,85.0
33,2018-09-05 18:00:00,3923.0,7846.0,4851.0,0.6437768240343348,0.8590831918505942,0.8522727272727273,0.5172413793103449,1373.0,589.0,431.0,13.0,70.0,75.0
34,2018-09-05 19:00:00,3123.0,6246.0,4713.0,0.5863874345549738,0.8584229390681004,0.7671232876712328,0.4745762711864407,1302.0,558.0,423.0,17.0,62.0,56.0
35,2018-09-05 20:00:00,3270.0,6540.0,4741.0,0.5333333333333332,0.8045375218150087,0.6808510638297872,0.4383561643835616,1335.0,573.0,397.0,30.0,82.0,64.0
36,2018-09-05 21:00:00,2819.0,5638.0,4645.0,0.6210045662100456,0.8485401459854015,0.7906976744186046,0.5112781954887218,1278.0,548.0,397.0,18.0,65.0,68.0
37,2018-09-05 22:00:00,2850.0,5700.0,4347.0,0.5798319327731093,0.8054474708171206,0.71875,0.4859154929577465,1199.0,514.0,345.0,27.0,73.0,69.0
38,2018-09-05 23:00:00,2526.0,5052.0,4311.0,0.5735294117647058,0.8821138211382114,0.8666666666666667,0.42857142857142855,1148.0,492.0,395.0,6.0,52.0,39.0
39,2018-09-06 00:00:00,2533.0,5066.0,4199.0,0.5780346820809249,0.854,0.6756756756756757,0.5050505050505051,1166.0,500.0,377.0,24.0,49.0,50.0
40,2018-09-06 01:00:00,2730.0,5460.0,4158.0,0.4533333333333333,0.8291666666666667,0.6071428571428571,0.3617021276595745,1118.0,480.0,364.0,22.0,60.0,34.0
41,2018-09-06 02:00:00,2222.0,4444.0,4000.0,0.52,0.8956521739130435,0.8666666666666667,0.37142857142857144,1072.0,460.0,386.0,4.0,44.0,26.0
